,game_date,Spread,Predicted Spread,Scores
245,2017-01-01,,,
246,2017-01-01,,,
247,2017-01-01,,,
248,2017-01-01,,,
249,2017-01-01,,,
250,2017-01-01,,,
251,2017-01-01,,,
252,2017-01-01,,,
253,2017-01-01,,,
254,2017-01-01,,,
255,2017-01-01,,,
256,2017-01-07,,,
257,2017-01-07,,,
258,2017-01-08,,,
259,2017-01-08,,,
260,2017-01-14,,,
261,2017-01-14,,,
262,2017-01-15,,,
263,2017-01-15,,,
264,2017-01-22,,,
265,2017-01-22,,,
266,2017-02-05,,,
